id,value,feed_id,created_at,lat,lon,ele
0FR9AHE1QZ0FAZ1QTRDD63NXPZ,22.773434,2934012,2024-11-27 18:36:04 UTC,,,
0FR9AHHH954DAWV8N0W1P0JW0W,22.817379,2934012,2024-11-27 18:36:15 UTC,,,
0FR9AJG1S1XVK9XHN2V3XRNHN9,22.597652,2934012,2024-11-27 18:37:55 UTC,,,
0FR9B80WY6DF9922KZW4MP3021,22.509766,2934012,2024-11-27 19:15:33 UTC,,,
0FR9B830PW19Q5KP0EET42SWMP,22.509766,2934012,2024-11-27 19:15:40 UTC,,,
0FR9B843Y4E6KKZ8BHSW8BQR98,22.553707,2934012,2024-11-27 19:15:43 UTC,,,
0FR9DHRE9D12WXXPJHBPDD8CH5,129.956055,2934012,2024-11-27 21:24:24 UTC,,,
0FR9DWBXPY0GVJHZ9FN2N4PWDM,22.905272,2934012,2024-11-27 21:42:57 UTC,,,
0FR9DWGVQMNQ4WS9CD56BM7R14,23.300779,2934012,2024-11-27 21:43:13 UTC,,,
0FR9DX1A47RSQCPT51DCAG1Z0Q,22.861326,2934012,2024-11-27 21:44:07 UTC,,,
0FR9DY37567GD0PKGA10JKBWY2,22.729492,2934012,2024-11-27 21:45:58 UTC,,,
0FR9DYEPMN8043XYZB4QEJMKGW,22.729492,2934012,2024-11-27 21:46:36 UTC,,,
0FR9DYJ6T1RA5VCYQN66Y7QV96,22.817379,2934012,2024-11-27 21:46:47 UTC,,,
0FR9DYRRDBWQG1M40HHQVCS95P,22.773434,2934012,2024-11-27 21:47:09 UTC,,,
0FR9DYYBX582M21EG56J6E8K2V,22.817379,2934012,2024-11-27 21:47:27 UTC,,,
0FR9DZ427T2R0EG2N0NX50VTR7,22.861326,2934012,2024-11-27 21:47:46 UTC,,,
